,recipe_name,cuisine,diet
1088,Aloo Paratas,Indian,Vegetarian
1089,Italian Risotto,Continental,Non-Vegetarian
1090,Vermicelli Burfi,Indian,Festive
1091,Almond Kova Burfi,Indian,Festive
1092,Blueberry and Kiwi Moulds,American,Vegetarian
1093,Cheesy Peppery Slices,Continental,Kid-Friendly
1094,Pumpkin Cutlets,Chinese,Vegetarian
1095,Choco-Nut Cake,Indian,Festive
1096,Traditional Vegetable Manchurian,Indian,Non-Vegetarian
1097,Plain Lauki-Tamatar Subzi,Indian,Vegetarian
1098,Plain Mexican Tacos,Mexican,Vegetarian
1099,Stuffed Egg Fuyong,Chinese,Non-Vegetarian
1100,Raspberry Chocolate,Continental,Vegetarian
1101,Traditional Roast Beef Sandwiches,Anglo-Indian,Non-Vegetarian
1102,Tri Ratan Koki,Indian,Vegetarian
1103,Wheat Rava Dosa,Indian,Vegetarian
1104,Vaishakhi paratha,Indian,Vegetarian
1105,Mint Chutney Sandwiches,Anglo-Indian,Kid-Friendly
1106,Wheat Flakes-Oat Phirni,Indian,Kid-Friendly
1107,Vegetable Chunks in Tomato Gravy,Indian,Vegetarian
1108,Pomegranate Sprout Bhel,Indian,Low-Calorie
1109,Spicy Lentil rice,Indian,Vegetarian
1110,Aloo Methi with Dry Methi leaves,Indian,Kid-Friendly
1111,Traditional Tomato Bhath,Indian,Vegetarian
1112,Chayote Squash,Indian,Vegetarian
1113,Turai ki chutney,Indian,Vegetarian
1114,Unda puttu,Indian,Non-Vegetarian
1115,Chicken Pickle in Vinegar,Anglo-Indian,Non-Vegetarian
1116,Plain Aloo Posto,Indian,Vegetarian
1117,Goan Chicken Vindaloo,Indian,Festive
1118,Wheat Flakes-Potato Papadums,Indian,Kid-Friendly
1119,Vegetable Bhath,Indian,Vegetarian
1120,Fruit Cake with Apricot Jam,American,Kid-Friendly
1121,Egg Chicken,Indian,Non-Vegetarian
1122,Whacky Cake,American,Kid-Friendly
1123,Festive Badam Kheer,Indian,Vegetarian
1124,Mixed Vegetable Pancakes - Waffles,Indian,Kid-Friendly
1125,Amchoor Powder,Indian,Vegetarian
1126,Aloo Tikkia,Indian,Festive
1127,Kashmiri mirch Crab Curry,Indian,Non-Vegetarian
1128,Yummy Sponge Cake,English,Kid-Friendly
1129,Plantain bajji,Indian,Vegetarian
1130,Tuna And Pasta Bake,Anglo-Indian,Non-Vegetarian
1131,Almond Halwa with Saffron,Indian,Festive
1132,Vegetarian Palak rice,Indian,Vegetarian
1133,Lauki masala,Indian,Vegetarian
1134,Tuvar Masala Bath,Indian,Vegetarian
1135,Vathakuzhambu thokku,Indian,Vegetarian
1136,Aloo Palak Masala,Indian,Vegetarian
1137,Vanilla Gateaux,French,Kid-Friendly
1138,Zero oil mixed vegetable curry,Indian,Vegetarian
1139,Crab Vindaloo,Indian,Non-Vegetarian
1140,Almond Tikki with Chhole,Indian,Vegetarian
1141,Potato jeera fry,Indian,Vegetarian
1142,Tropical Milk Shake,Indian,Kid-Friendly
1143,Vegetable Masala Sandwich,Indian,Vegetarian
1144,Turai Coconut,Indian,Vegetarian
1145,Saffron Coconut Rice,Indian,Vegetarian
1146,Kothamalli Rice,Indian,Vegetarian
1147,Tamarind Raita,Indian,Vegetarian
1148,Veggi Fried Rice,Chinese,Vegetarian
1149,Lemonade with watermelons,Continental,Kid-Friendly
1150,Instant Kuzhi Paniyaaram,Indian,Vegetarian
1151,Ajwain Halwa,Indian,Festive
1152,Zaikedar palak,Indian,Vegetarian
1153,Kiwiango,Indian,Vegetarian
1154,Vendakkai Morkozhambu,Indian,Vegetarian
1155,Simple Bottle Gourd Halwa,Indian,Vegetarian
1156,White Radish Greens Vegetable,Indian,Vegetarian
1157,Vegetable Club Sandwiches,Anglo-Indian,Kid-Friendly
1158,Vanilla Flavored Chocolate Fudge with Nuts,Anglo-Indian,Festive
1159,Tuna Dip,Continental,Kid-Friendly
1160,Aloo Methi with Drumstick Leaves,Indian,Vegetarian
1161,Tortilla Spring Rolls,Indian,Vegetarian
1162,Veg Hotpot,Indian,Vegetarian
1163,Yoghurt Shorba,Indian,Vegetarian
1164,Vegetable Cutlet,Indian,Vegetarian
1165,Sea Crabs Coconut Fry,Indian,Non-Vegetarian
1166,Dahi Parwal,Indian,Vegetarian
1167,Wholesome Cutlets,Indian,Vegetarian
1168,Yummy Mutton Curry,Indian,Non-Vegetarian
1169,Vaal Dal Pulav,Indian,Vegetarian
1170,Amrood ki chutney,Indian,Vegetarian
1171,Simple Sambar,Indian,Vegetarian
1172,White Pumpkin - Ash Gourd Curry,Anglo-Indian,Vegetarian
1173,Yummy pepper Chicken,Indian,Non-Vegetarian
1174,Yummy Thayir Vadai,Indian,Kid-Friendly
1175,Aloo Hara Masala,Indian,Vegetarian
1176,Vada Hariyali,Indian,Kid-Friendly
1177,Vermicelli and Mango Dessert,Indian,Festive
1178,Tropical Pinch,Indian,Kid-Friendly
1179,Vegetable Lollipop,Indian,Vegetarian
1180,Hot Chocolate Fudge,Continental,Festive
1181,Date and Lentil Pulao,Indian,Vegetarian
1182,Spicy Tender Vegan Mix,Indian,Vegan
1183,Traditional Vegetable Pulao,Indian,Vegetarian
1184,Easy Prawn pakoda,Indian,Non-Vegetarian
1185,Gaajar ka Halwa,Indian,Kid-Friendly
1186,Vegetable Pancake,Indian,Non-Vegetarian
1187,Vegetables in Stir Fried Noodles,Thai,Vegetarian
1188,Amritsari Machli (Fish),Indian,Non-Vegetarian
1189,Aloo Saag,Indian,Vegetarian
1190,Amla Quick Chutney,Indian,Vegetarian
1191,Daal Dost,Indian,Non-Vegetarian
1192,Turkey Burgers,American,Kid-Friendly
1193,Egg Curry in Tomato Gravy,Indian,Non-Vegetarian
1194,Chicken Tikka Gravy,Indian,Festive
1195,Zucchini Pickle,Indian,Vegetarian
1196,Aamras with Kesar,Indian,Kid-Friendly
1197,Quick Aloo Palak,Indian,Vegetarian
1198,Dry Fruit Beverage,Indian,Kid-Friendly
1199,Akoori on Toast,Indian,Non-Vegetarian
1200,Vegetable Lasagne (For a buffet),Italian,Kid-Friendly
1201,Green pepper pickles,Indian,Vegetarian
1202,Vegetarian Keema,Indian,Kid-Friendly
1203,Almond Diyas,Indian,Kid-Friendly
1204,Walnut Filled Biscuits,Continental,Kid-Friendly
1205,Rawa Kichidi,Indian,Vegetarian
1206,Turai Khatta,Indian,Vegetarian
1207,Traditional Palak Pulav,Indian,Vegetarian
1208,Chilli Cheese Sticks,Anglo-Indian,Kid-Friendly
1209,Veg Rolls,Indian,Kid-Friendly
1210,Watermelon Rind Curry,Indian,Vegetarian
1211,Marinated Vegetable Salad,American,Vegetarian
1212,Aloo Fry,Indian,Kid-Friendly
1213,Watermelon Smoothie,Indian,Festive
1214,Almond Choco Cookies,Continental,Kid-Friendly
1215,Til Gool,Indian,Kid-Friendly
1216,Zarda Seekh Kabab,Indian,Vegetarian
1217,Grilled Apple Sauce Burgers,American,Vegetarian
1218,Vathal kulambhu,Indian,Vegetarian
1219,Crushed Khakhras with Curds,Indian,Kid-Friendly
1220,Tortilla Sandwich,Mexican,Kid-Friendly
1221,Thousand Island Dressing,American,Vegetarian
1222,Strawberry Chocolate,American,Kid-Friendly
1223,Wadi Aloo,Indian,Vegetarian
1224,Aloo Chaat Lajawab,Indian,Kid-Friendly
1225,Vegetable Patholi,Indian,Vegetarian
1226,Rava Khichadi,Indian,Vegetarian
1227,Easy Aapam,Indian,Vegetarian
1228,Coffee Milk Shake with Coffee Cubes,Indian,Vegetarian
1229,Pudding In Pie,Indian,Kid-Friendly
1230,Quick Aloo Methi,Indian,Vegetarian
1231,Easy Aloo Palak,Indian,Vegetarian
1232,Watermelon Slush,Continental,Kid-Friendly
1233,Wheat Flour Au Gratin,Indian,Vegetarian
1234,Peanuts-Lauki,Indian,Vegetarian
1235,Peanut Salad,Indian,Vegetarian
1236,Zesty Brinjal and Dal Curry,Indian,Vegetarian
1237,Daal Poodi,Indian,Vegetarian
1238,7 Cup Sweet,Indian,Kid-Friendly
1239,Grated Lauki Curry,Indian,Vegetarian
1240,Vadas,Indian,Kid-Friendly
1241,Vanilla Muffins,Anglo-Indian,Kid-Friendly
1242,Vanilla Flavoured Chocolate Cake,American,Kid-Friendly
1243,Potato Puri,Indian,Vegetarian
1244,Vegetable Halwa,Indian,Festive
1245,Torai Channa dal Subzi,Indian,Vegetarian
1246,7 Cupcake,Indian,Festive
1247,Aloo Khorma,Indian,Vegetarian
1248,Yummy Cheesecake,Continental,Kid-Friendly
1249,Tuvar Dal with Palak,Indian,Vegetarian
1250,Vermicelli Kesari,Indian,Festive
1251,Vegetable and Herb Omelette,Continental,Non-Vegetarian
1252,Warm Mud Cake with Vanilla Ice Cream,American,Kid-Friendly
1253,Vegetable Biriyani,Indian,Vegetarian
1254,Veal Vindaloo,Anglo-Indian,Non-Vegetarian
1255,Traditional Paneer Korma,Indian,Vegetarian
1256,Zair,Indo-American,Festive
1257,Whole Masoor Dal,Indian,Vegetarian
1258,Wonderful Bhath in a Jiffy,Indian,Vegetarian
1259,Zucchini N Sprouted Moong dal Kurma,Indian,Vegetarian
1260,Plain Methi Sabzi,Indian,Vegetarian
1261,Wheat Idiappam (Sevai) - South Indian Delicacy,Indian,Vegetarian
1262,Soya Soup,Chinese,Vegetarian
1263,Urad-Maida Dosai,Indian,Vegetarian
1264,Vegetable Paratha and Coriander Chutney,Indian,Vegetarian
1265,Soya noodles with mushroom,Chinese,Vegetarian
1266,Curry Powder (For Vegetables),Indian,Festive
1267,Vegetables in White Sauce,Indian,Vegetarian
1268,Stew Curry Powder,Indian,Vegetarian
1269,Plain Aloo Dum,Indian,Vegetarian
1270,Traditional Tomato Rice,Indian,Vegetarian
1271,Unnakayi (Banana Rolls),Indian,Kid-Friendly
1272,Steamed Pathrade,Indian,Vegetarian
1273,Dahi Baigan (Oriya Dish),Indian,Kid-Friendly
1274,Rainbow Sandwich Pakoras,Indian,Vegetarian
1275,Almond Fudge,American,Vegetarian
1276,Udupi Sambhar,Indian,Vegetarian
1277,Traditional Vangibath,Indian,Vegetarian
1278,Veggie Pancake,Indian,Vegetarian
1279,Aloo Gobi Recipe,Indian,Vegetarian
1280,Zucchini Raita,Indian,Vegetarian
1281,Traditional Orange Cake,Continental,Vegetarian
1282,Chocolate Pineapple Biscuit Pudding,Indian,Kid-Friendly
1283,Liver Kababs,Indian,Non-Vegetarian
1284,Whole Duck Roasted The Indian Way,Anglo-Indian,Non-Vegetarian
1285,Val Whole Usli,Indian,Vegetarian
1286,Lauki in Channa Dal,Indian,Vegetarian
1287,Vegetable Mughlai,Indian,Vegetarian
1288,Aloo Kichidi for Special Occasions,Indian,Kid-Friendly
1289,Paneer rolls,Indian,Vegetarian
1290,Cucur Udang (Deep fried ladle cakes with prawns),Malaysian,Non-Vegetarian
1291,Instant Veg Dosa,Indian,Vegetarian
1292,Truffle,Continental,Kid-Friendly
1293,Khakra-Papad Ki Choori,Indian,Vegetarian
1294,Black-Eyed Peas With Onions And Tomatoes,Anglo-Indian,Vegetarian
1295,Green Masala Chicken Curry,Anglo-Indian,Non-Vegetarian
1296,Veg egg,Indian,Kid-Friendly
1297,Crab-Snow Peas Curry,Indian,Non-Vegetarian
1298,Cheese Soup with Chicken Stock,American,Non-Vegetarian
1299,Savoury Sausage Pie,Anglo-Indian,Kid-Friendly
1300,Walnut Ladoos,Indian,Festive
1301,Shira,Indian,Kid-Friendly
1302,Vegetable Hakka Noodles,Chinese,Vegetarian
1303,Zesty Vegetable in Coconut Gravy,Indian,Vegetarian
1304,Virgin Pina Colada with Tender Coconut,South-American,Vegetarian
1305,Low Fat Shrikhand,Indian,Vegetarian
1306,Urad Dal and Potato Side Dish,Indian,Kid-Friendly
1307,Vegetable Perattal,Indian,Vegetarian
1308,Traditional Vegetable Biriyani,Indian,Vegetarian
1309,Methi Ladoos,Indian,Kid-Friendly
1310,Zucchini Chutney,Indian,Vegetarian
1311,Aloo Tikka Masala,Indian,Vegetarian
1312,Wafers Chaat,Indian,Kid-Friendly
1313,Varutta Erra Kolumbu,Indian,Festive
1314,Sugary Cashew Nut Macaroons,Anglo-Indian,Kid-Friendly
1315,Vengaya Thugayal (Onion Chutney),Indian,Vegetarian
1316,Cauliflower Bake,Anglo-Indian,Vegetarian
1317,Tasty Pista Cake,Indian,Kid-Friendly
1318,Banana Milkshake,Continental,Kid-Friendly
1319,Mexican Tacos,Mexican,Vegetarian
1320,Oreo Cookies Cheese Cake,American,Kid-Friendly
1321,Vellai Paniyaram,Indian,Kid-Friendly
1322,Vegetable Puttu,Indian,Vegetarian
1323,Plain Akki Roti,Indian,Vegetarian
1324,Sunshine Cake,American,Kid-Friendly
1325,Tortilla Chips Bhel,Indian,Kid-Friendly
1326,Rail Palaharam,Indian,Kid-Friendly
1327,Wheat rava dry fruit kesari,Indian,Kid-Friendly
1328,Yummy Aloo Paratha,Indian,Vegetarian
1329,Yummy Malai Kofta,Indian,Festive
1330,Paneer pasanda,Indian,Vegetarian
1331,Turmeric chicken curry,Indian,Non-Vegetarian
1332,Sugar free Dark Chocolate,American,Vegetarian
1333,Vegetable Fajitas,Mexican,Vegetarian
1334,Uttapam,Indian,Vegetarian
1335,Val beans sundal (anapa ginjala guggillu),Indian,Vegetarian
1336,Traditional Olan,Indian,Vegetarian
1337,Paneer Rogan Josh,Indian,Vegetarian
1338,Fig Honey Sauce,Indian,Festive
1339,Vegan Lamb and Cauliflower Curry,Indian,Vegan
1340,Mixed Dal Adai,Indian,Vegetarian
1341,Varan Bhaat,Indian,Vegetarian
1342,Karela Stir fried Vegetable,Indian,Vegetarian
1343,Egg Bhaji,Indian,Non-Vegetarian
1344,Vanilla Cupcakes with glace cherries & Pineapple,American,Non-Vegetarian
1345,Methi Pudina Khakra,Indian,Vegetarian
1346,Parboiled Rice Porridge for Toddlers,Indian,Kid-Friendly
1347,Triple Dhoklas,Indian,Vegetarian
1348,Fuggias - East Indian Bread,Indian,Non-Vegetarian
1349,Vegetable Kebabs,Indian,Kid-Friendly
1350,Veg Bhurji,Indian,Vegetarian
1351,Plain Mushroom Pepper Fry,Indian,Vegetarian
1352,Dum Ka Chicken,Indian,Non-Vegetarian
1353,Vegetable and Cheese Parathas,Indian,Festive
1354,Special Watermelon Smoothie,Indian,Vegetarian
1355,Special Aloo Dum,Indian,Vegetarian
1356,Whole Grain Upma,Indian,Vegetarian
1357,White Radish Dip,Indian,Vegetarian
1358,Home Made Taco,Mexican,Kid-Friendly
1359,Coffee Toffees,American,Kid-Friendly
1360,Veggie pie with poppy seeds,American,Vegetarian
1361,Vankaya Menthi Kaaram Koora,Indian,Vegetarian
1362,Wholesome Porridge,Indian,High-Protein
1363,Tum Yum Soup,Indian,Kid-Friendly
1364,Veggie Childa,Indian,Vegetarian
1365,Molagai Chutney,Indian,Festive
1366,Trotters Soup,Anglo-Indian,Non-Vegetarian
1367,Mustard Chilli Seasoning,Indian,Vegetarian
1368,Aloo Mutter with Garlic Flavor,Indian,Kid-Friendly
1369,Tropical smoothie,Indian,Kid-Friendly
1370,Prawn Shahi Barfi,Indian,Non-Vegetarian
1371,Simple Italian Dressing,Continental,Vegetarian
1372,Tridev Dhal,Indian,Vegetarian
1373,Fish Curry With Coconut,Indian,Non-Vegetarian
1374,Green vadas,Indian,Vegetarian
1375,Yummy Kalakand,Indian,Festive
1376,Vatral Kuzhambu,Indian,Vegetarian
1377,Almond Slices,Continental,Festive
1378,Amla (Nellikai) Chutney,Indian,Kid-Friendly
1379,Wheat Germ Kheer,Indian,Festive
1380,7 Cups Delight,Indian,Festive
1381,Yakhni,Indian,Non-Vegetarian
1382,Indian Kabuli,Indian,Vegetarian
1383,Green Gram Barfi,Indian,Festive
1384,Zamin Doz Machhli,Indian,Non-Vegetarian
1385,Easy Chocolate Cookies,Continental,Kid-Friendly
1386,Telcha,Indian,Festive
1387,Sutoda,Indian,Festive
1388,Tossed Salad,Continental,Non-Vegetarian
1389,Aloo Pudhina,Indian,Vegetarian
1390,Soya Fennel Rice,Continental,Vegetarian
1391,Amle ki Chutney,Indian,Vegetarian
1392,Devil's Steak,Anglo-Indian,Non-Vegetarian
1393,Teekha mach,Indian,Non-Vegetarian
1394,Eggs and Potato Curry,Indian,Non-Vegetarian
1395,Tuna Fish Tomato Curry,Indian,Non-Vegetarian
1396,Orange and Strawberry Punch,Indian,Vegetarian
1397,Traditional Tomato curry,Indian,Vegetarian
1398,Aloo Methi Masala,Indian,Vegetarian
1399,Ven pongal recipe,Indian,Vegetarian
1400,Grape Mocktail,Indian,Vegetarian
1401,Traditional Paneer jalfrezi,Indian,Vegetarian
1402,Nasi Lemak and Prawn Sambal with coconut,Malaysian,Non-Vegetarian
1403,Yummy Mutton Chops,Indian,Non-Vegetarian
1404,Traditional Tomato Thokku,Indian,Vegetarian
1405,Aloo Kannapuri,Indian,Vegetarian
1406,Date Apple Coffee Bread,American,Kid-Friendly
1407,Traditional Sannas,Indian,Kid-Friendly
1408,Tortilla Soup with beef and chicken broth,Mexican,Non-Vegetarian
1409,Plain Pineapple cake,American,Festive
1410,Microwave Kalakand,Indian,Kid-Friendly
1411,Vinegar Chillies And Mayonnaise,Indian,Vegetarian
1412,Special Vegetable Jalfrezi,Indian,Vegetarian
1413,Yellow Dal,Indian,Vegetarian
1414,Chicken masala semi gravy,Indian,Non-Vegetarian
1415,Yummy Kesari,Indian,Festive
1416,Vendakkai (Okra) Kuzhambu,Indian,Vegetarian
1417,Fish in Mustard Sauce,Indian,Festive
1418,Aloo Masala,Indian,Vegetarian
1419,Almond and Rice Kheer,Indian,Festive
1420,Plain Sakkarai Pongal,Indian,Kid-Friendly
1421,Quick Adai,Indian,Low-Calorie
1422,Traditional Tomato Mushrooms,Indian,Kid-Friendly
1423,Cabbage capsicum masala,Indian,Vegetarian
1424,Egg-Vegetable Omelette,Indian,Kid-Friendly
1425,Tortilla Laddus,Indian,Kid-Friendly
1426,Traditional Kerala Fish Curry,Indian,Non-Vegetarian
1427,Vegetable and Potato Fritters,Indian,Vegetarian
1428,Simple Amla Pickle,Indian,Vegetarian
1429,Pine Coconuty Fusion,Indian,Vegetarian
1430,Zero Oil Bake Gulab Jamun,Indian,Kid-Friendly
1431,Watermelon And Apple Cooler,Indian,Vegetarian
1432,Tomato Pickups,Indian,Vegetarian
1433,Creamy Rabri Sip,Indian,Vegetarian
1434,Vegetable Gravy,Indian,Vegetarian
1435,Plain Aloo Gobi,Indian,Vegetarian
1436,Quick Aloo Dum,Indian,Vegetarian
1437,Zesty Tomato Rice,Indian,Kid-Friendly
1438,Soya Salad,Indian,Vegetarian
1439,Veg. Seekh Kababs,Indian,Kid-Friendly
1440,Aloo Paratha Recipe,Indian,Vegetarian
1441,Aloo Baingan,Indian,Vegetarian
1442,Tomato Tea Sandwiches,Anglo-Indian,Kid-Friendly
1443,Vermicelli Delight,Indian,Kid-Friendly
1444,Fowl Curry with Roasted Masala,Indian,Non-Vegetarian
1445,Quick Chocolate Chip Cookies,Indian,Kid-Friendly
1446,Winter Masoor Dal,Indian,High-Protein
1447,Refreshing Carrot Juice,Indian,Vegetarian
1448,Vegetable Ginger Fry,Indian,Vegetarian
1449,Yummy Matar Paneer,Indian,Vegetarian
1450,Mixed greens And Corn Dumplings,Indian,Vegetarian
1451,Turai Channa Dal,Indian,Vegetarian
1452,White Sauce for Bakes and Pasta,Anglo-Indian,Vegetarian
1453,Veg kara pongal,Indian,Vegetarian
1454,Quick Aloo Gobi,Indian,Vegetarian
1455,Vegetable Rice,Indian,Vegetarian
1456,Banana Caramel Cream,Indian,Vegetarian
1457,Aloo mutter Tikki,Indian,Vegetarian
1458,Vankaya allam karam (egg plant curry),Indian,Kid-Friendly
1459,Vegetable Pancake Batter,Indian,Kid-Friendly
1460,Vatta kolambhu (tamarind curry),Indian,Kid-Friendly
1461,Vegetarian Shepherd's Pie,Anglo-Indian,Kid-Friendly
1462,Boti,Indian,Non-Vegetarian
1463,Green apple salad,American,Vegetarian
1464,Kheema in Green Masala,Indian,Non-Vegetarian
1465,Yeriseri,Indian,Vegetarian
1466,Methi Bhajiya,Indian,Vegetarian
1467,Exotic Egg Spread,Indian,Non-Vegetarian
1468,Mixed Cubes,Indian,Vegetarian
1469,Spicy Cauliflower - Broccoli Fritters,Anglo-Indian,Non-Vegetarian
1470,Traditional Onion Pakoras,Indian,Kid-Friendly
1471,Vegetable Fried Rice in Chilli-Soya Sauce,Chinese,Festive
1472,Raagi Muddhe,Indian,Kid-Friendly
1473,Aloo Chokha,Indian,Vegetarian
1474,Egg curry in Yogurt based Gravy,Indian,Non-Vegetarian
1475,Curry Powder for Meat - bulk,Indian,Festive
1476,Patishapta,Indian,Festive
1477,Sardine Rounds,English,Non-Vegetarian
1478,Palak-Tomato Pulav,Indian,Vegetarian
1479,Liver And Bacon Casserole,Anglo-Indian,Non-Vegetarian
1480,Nutritious Lentil Rice,Indian,Vegetarian
1481,Turmeric Powder,Indian,Vegetarian
1482,Vanilla with Faces,Indian,Kid-Friendly
1483,Sizzling Tamarind Rice,Indian,Vegetarian
1484,Brown Dal,Indian,Vegetarian
1485,Traditional Urad Dal Ladoo,Indian,Festive
1486,Tuna Fish,Indian,Non-Vegetarian
1487,Deep Fried Idli Patties,Indian,Vegetarian
1488,Anglo-Indian Chicken Vindaloo,Anglo-Indian,Non-Vegetarian
1489,Aloo Pakoda,Indian,Vegetarian
1490,Walnut chutney,Indian,Vegetarian
1491,Methina Bhajiya,Indian,Vegetarian
1492,Pav Bhaji under 30 minutes,Indian,Vegetarian
1493,Traditional Navaratna Kurma,Indian,Vegetarian
1494,Vaangi Upma,Indian,Vegetarian
1495,Simple Crab Curry,Anglo-Indian,Non-Vegetarian
1496,Unstuffed Modak for Naivedya,Indian,Kid-Friendly
1497,Vegetarian Brown Sauce,Anglo-Indian,Vegetarian
1498,Wholesome Nutty Salad,Indian,Vegetarian
1499,White Chicken Kurma,Indian,Non-Vegetarian
1500,Vanilla Drops,Anglo-Indian,Kid-Friendly
1501,Moong Dal Uthappam,Indian,Kid-Friendly
1502,Urad Dal Ki Kachauri,Indian,Vegetarian
1503,Veg Ball Biriyani,Indian,Vegetarian
1504,Vegetarian Kway Teow,Chinese,Vegetarian
1505,Turkish style Festive Baklana,Turkish,Kid-Friendly
1506,Rawa Milagu Pongal,Indian,Vegetarian
1507,Chocolate Kheer,Indian,Festive
1508,Yummy Idli and Chutney,Indian,Kid-Friendly
1509,Vendakai puli pachadi,Indian,Vegetarian
1510,Traditional Punjabi Chole,Indian,Festive
1511,No Cook Dessert,American,Kid-Friendly
1512,Whole Mixed Dal,Indian,Vegetarian
1513,Yummy Aloo Mattar,Indian,Vegetarian
1514,Zesty Salad,Continental,Vegetarian
1515,Yam And Tomato Vindaloo,Anglo-Indian,Vegetarian
1516,Traditional Palak Pakodas,Indian,Kid-Friendly
1517,Adai Dosai,Indian,Vegetarian
1518,Trifle Pudding,Continental,Festive
1519,Kurkura Arbi Masala,Indian,Vegetarian
1520,Vegetarian Mee Goreng,Chinese,Vegetarian
1521,Cheese Cream,American,Non-Vegetarian
1522,Brownie Shake,American,Vegetarian
1523,Yellow Pumpkin Curry,Indian,Vegetarian
1524,Vegetable stuffed potatoes,Indian,Vegetarian
1525,Wacky Cake,American,Kid-Friendly
1526,Plain Aloo Fry,Indian,Vegetarian
1527,Aloo Methi with Yogurt,Indian,Vegetarian
1528,Achar Aloo,Indian,Vegetarian
1529,Microwaved Potato,Indian,Vegetarian
1530,Duck Roast,Anglo-Indian,Non-Vegetarian
1531,Dahi Malai Delight,Indian,Vegetarian
1532,Hilsa in curd - Bengali style,Indian,Non-Vegetarian
1533,Toasted Tea Cakes,Anglo-Indian,Kid-Friendly
1534,South Indian Crab Curry,Indian,Non-Vegetarian
1535,Traditional Mediterranean Lasagna,Indian,Festive
1536,Indian style Palak rice,Indian,Vegetarian
1537,Wada Pav,Indian,Vegetarian
1538,Vathakuzhambu,Indian,Vegetarian
1539,Chicken In Mint And Coriander Gravy,Anglo-Indian,Non-Vegetarian
1540,Yummy Butter Chicken,Indian,Non-Vegetarian
1541,Aloo Puri,Indian,Vegetarian
1542,Tawa Dahi Kebabs,Indian,Vegetarian
1543,Aloo Halwa,Indian,Festive
1544,Shavige Uppittu,Indian,Vegetarian
1545,Aloo Ki Tikki,Indian,Kid-Friendly
1546,Veppampoo rasam,Indian,Festive
1547,Spicy pork curry,Anglo-Indian,Non-Vegetarian
1548,Green Moong Kebabs,Indian,Vegetarian
1549,Vanilla ice cream with pista,Indian,Kid-Friendly
1550,Strawberry-Chocolate Mousse,Indian,Vegetarian
1551,Vegetable dal fry,Indian,Vegetarian
1552,Corn Coleslaw,Continental,Vegetarian
1553,Veg Soother,Continental,Vegetarian
1554,Vellayappam,Indian,Kid-Friendly
1555,Coconut Pilaf - Palau,Anglo-Indian,Vegetarian
1556,Freeze-Thaw Tofu Fried Rice,Indian,Vegetarian
1557,Vanilla Tea Cupcakes,Continental,Kid-Friendly
1558,Penne a la Arrabiata,Italian,Vegetarian
1559,Vishu Puzhuku,Indian,Vegetarian
1560,Aloo Mutter (Potatoes and Peas Curry),Indian,Vegetarian
1561,Tasty Aloo Paratha,Indian,Vegetarian
1562,Sizzling Tangy fish curry,Anglo-Indian,Non-Vegetarian
1563,Pineapple Pastries,Indian,Non-Vegetarian
1564,Yummy Capsicum Chicken,Indian,Non-Vegetarian
1565,Wheat Rava Idli,Indian,Vegetarian
1566,Vegetable soup recipe,Indian,Vegetarian
1567,Berry Banana Crepes,Italian,Kid-Friendly
1568,Cheddar Garlic Biscuits,Continental,Kid-Friendly
1569,Catla Fish Stew,Indian,Non-Vegetarian
1570,Turkey Fry,Continental,Festive
1571,White Mutton Curry,Indian,Non-Vegetarian
1572,Traditional Vegetable Soup,Indian,Kid-Friendly
1573,Aam Ras Puri,Indian,Kid-Friendly
1574,Cheesy cauliflower,Continental,Kid-Friendly
1575,Vangibath Masala Powder,Indian,Vegetarian
1576,Traditional Palak Kofta Curry,Indian,Vegetarian
1577,Old-fashioned Vegetable Omelette,Indian,Vegetarian
1578,Watermelon And Lychee Fruit Salad,Indian,Kid-Friendly
1579,Vegetable Rava Upma,Indian,Vegetarian
1580,Vatana Salad,Indian,Vegetarian
1581,White Pumpkin (Ghia) kesaria muraabba,Indian,Festive
1582,Vangaya Vathakozhambu,Indian,Vegetarian
1583,Vengaaya Sambar,Indian,Vegetarian
1584,Alu-Tomato Saag,Indian,Vegetarian
1585,Vegetable Malai Kofta Curry,Indian,Kid-Friendly
1586,Twice Bake Potatoes,Continental,Vegetarian
1587,Ulvu Charu (Horse Gram Rasam),Indian,Vegetarian
1588,Junnu,Indian,Kid-Friendly
1589,Crabs In Coconut Milk Curry,Anglo-Indian,Non-Vegetarian
1590,Simple Aloo Palak,Indian,Vegetarian
1591,Vegetable Kholapuri,Indian,Vegetarian
1592,Traditional Tomato Pulao,Indian,Vegetarian
1593,Plain Aamras,Indian,Festive
1594,Vegetable and Herb Omlette,Continental,Non-Vegetarian
1595,Vegetable Kofta,Indian,Kid-Friendly
1596,Tomato Mozzarella Salad with Basil,Italian,Vegetarian
1597,Bisi Bele Hulianna,Indian,Vegetarian
1598,Custard Powder Biscuits,American,Vegetarian
1599,Traditional Tomato Chutney,Indian,Vegetarian
1600,Wheat-Moong Khichdi,Indian,Vegetarian
1601,Mixed Fruit Mock tail,Indian,Vegetarian
1602,Vegetable Moong Dal Attu,Indian,Vegetarian
1603,Vellarikkai Koottu,Indian,Vegetarian
1604,Wheat Flour Soup,Indian,Vegetarian
1605,Veg Soft Noodles,Indo-Chinese,Kid-Friendly
1606,Traditional Parathas,Indian,Kid-Friendly
1607,Vegetable Sweet Corn Soup,Chinese,Vegetarian
